key,value,type,description
day_length_seconds,720,float,하루 실시간 길이(초). docs/01 v3 기본 12분. 다 흐르면 강제 취침 (유일한 강제 컷)
clock_start_hour,6,float,하루가 시작하는 게임 시각(시)
clock_end_hour,24,float,시계가 끝나는 게임 시각(시) — 이 시각에 강제 취침
timeband_day_hour,9,float,낮 시간대 시작 시각(시). 배치는 그 전(아침)까지만
timeband_evening_hour,17,float,저녁 시간대 시작 시각(시). 진입 시 정산·손님 심사
timeband_night_hour,20,float,밤 시간대 시작 시각(시). 진입 시 사연
sleep_earliest_hour,17,float,이 게임 시각부터 취침 버튼이 열린다. 0 이면 언제나 취침 가능
grid_floors,3,int,하숙집 최대 층수
grid_columns,4,int,층당 방 슬롯 수
start_money,200,int,새 게임 시작 자금
slice_target_days,7,int,첫 플레이 목표 일수
floor_build_cost,300,int,층 증축 기본 비용(2층). 층마다 growth 배씩 증가
floor_build_cost_growth,1.5,float,층 증축 비용 증가 배율
demolish_refund_ratio,0.5,float,철거 시 환불 비율 (build_cost 기준)
start_layout_floor0,"gate,guest_room,kitchen,empty_lot",string,새 게임 1층 배치(왼쪽부터 room id)
room_cell_width_px,64,int,방 1칸 가로(px). 16px 격자 4칸
room_cell_height_px,48,int,방 1칸 세로(px). 16px 격자 3칸
camera_zoom_min,1,int,카메라 최소 배율(정수 — 픽셀 스냅 유지)
camera_zoom_max,3,int,카메라 최대 배율(정수)
camera_zoom_step,1,int,휠 1칸당 배율 변화
camera_drag_threshold_px,4,float,이 거리(화면 px) 넘게 움직이면 클릭이 아니라 드래그
camera_bounds_margin_px,48,int,집 경계 바깥으로 보이는 여유(px)
hover_highlight_alpha,0.25,float,마우스 올린 칸 강조 투명도
build_flash_seconds,0.35,float,설치·철거 직후 칸 플래시 지속 시간
hud_message_seconds,2.5,float,HUD 메시지 표시 시간
light_transition_seconds,1.0,float,시간대 전환 시 색조 트윈 시간
light_color_morning,f7dfc4,string,아침 CanvasModulate 색(hex)
light_color_day,ffffff,string,낮 CanvasModulate 색(hex)
light_color_evening,e8a878,string,저녁 CanvasModulate 색(hex)
light_color_night,4a5478,string,밤 CanvasModulate 색(hex)
lantern_color,f2a65a,string,방 등불 색(hex — 팔레트)
lantern_energy,0.6,float,방 등불 밝기
lantern_radius_px,56,int,등불 반경(px)
lantern_timebands,"evening,night",string,등불이 켜지는 시간대 목록
debug_money_step,500,int,디버그 HUD 돈 추가량
window_integer_scale,2,int,창 배율(뷰포트 640x360 의 정수 배). 0 이면 화면에 맞는 최대 배율 자동
window_auto_scale_fill,0.8,float,자동 배율 계산 시 화면 사용 가능 영역 중 채울 비율
condition_max,100,int,요괴 컨디션 상한
work_condition_cost,30,int,하루 일하면 줄어드는 컨디션
rest_condition_gain,40,int,하루 쉬면 회복하는 컨디션
noise_condition_penalty_per_level,10,int,휴식 중 옆방 소음 1레벨당 컨디션 감소
low_condition_threshold,40,int,이 미만이면 산출이 low_condition_multiplier 배
low_condition_multiplier,0.5,float,저컨디션 산출 배율
stair_column,0,int,층을 오르내리는 계단이 있는 칸(열) 번호
yokai_walk_speed_px,40,float,요괴 걷기 속도(px/초)
yokai_slot_spacing_px,16,int,한 칸에 여럿 있을 때 가로 간격(px)
yokai_work_bob_px,2,int,일할 때 위아래로 들썩이는 폭(px)
yokai_work_bob_seconds,0.5,float,일할 때 들썩임 주기(초)
drop_ok_color,7fb2a6,string,드래그 중 배치 가능 칸 강조색(hex)
drop_bad_color,c9503f,string,드래그 중 배치 불가 칸 강조색(hex)
drop_highlight_alpha,0.35,float,드래그 중 칸 강조 투명도
assignment_card_size_px,32,int,배치 패널 요괴 카드 한 변(px)
visitor_chance,0.6,float,저녁마다 방문자가 올 확률 (0~1)
visitor_seed,0,int,방문자 추첨 시드. 0 이면 무작위(시간 기반)
guest_stay_nights,1,int,뜨내기 손님 체류 밤 수
accept_reputation_gain,1,int,손님을 받으면 오르는 평판
decline_reputation_penalty,1,int,정당하지 않은 거절(액운 0~1)로 내려가는 평판
decline_omen_threshold,2,int,이 액운 이상인 손님은 거절해도 평판이 내려가지 않음
story_affinity_per_event,0,int,사연 이벤트를 본 것만으로 오르는 호감도(효과와 별개)
portrait_size_px,96,int,대화창 일러스트 표시 크기(px)
dialogue_box_height_px,96,int,대화창 높이(px)
rain_chance,0.3,float,아침마다 비가 올 확률 (우산손 등장 조건)
ui_panel_color,2e2733,string,UI 패널 배경색(hex — 팔레트)
ui_panel_alpha,0.96,float,UI 패널 배경 투명도
ui_panel_border_color,7a7180,string,UI 패널 테두리색(hex — 팔레트)
ui_panel_padding_px,6,int,UI 패널 안쪽 여백(px)
clarity_alpha_min,0.4,float,호감도 0 일 때 '흐린' 요괴(clarity_by_affinity)의 스프라이트 투명도
clarity_affinity_max,3,int,이 호감도에서 완전히 또렷해진다
night_worker_glow_energy,0.9,float,밤에 night_worker 요괴 주변에 켜지는 빛의 세기 (0 이면 끔)
night_worker_glow_radius_px,40,int,밤 요괴 빛 반경(px)
message_log_lines,4,int,메시지 로그 최대 줄 수
message_fade_seconds,4.0,float,메시지가 사라지기까지의 시간
sfx_master_db,0.0,float,효과음 전체 볼륨(dB)
rest_zone_min_width_px,96,int,배치 패널 휴식 놓기 영역의 최소 너비(px)
metrics_enabled,true,bool,내장 지표 JSONL(user://metrics/session_*.jsonl) 기록 여부. headless 에서는 파일을 열지 않는다
player_start_region,r_house,string,새 게임 플레이어 시작 구역(regions.csv id)
player_start_x,32,float,시작 구역 안 플레이어 x(px). 하숙집은 대문간 칸 가운데
player_start_y,0,float,시작 구역 안 플레이어 y(px)
player_walk_speed_px,140,float,플레이어 걷기 속도(px/초). 테스트용 임시 2배 — 정식값 70 (2026-09-03 사용자 요청)
player_run_speed_px,240,float,플레이어 달리기 속도(px/초). 스태미너를 소모한다. 테스트용 임시 2배 — 정식값 120
player_climb_speed_px,110,float,사다리·계단 오르내리기 속도(px/초). 테스트용 임시 2배 — 정식값 55
player_gravity_px,900,float,중력 가속(px/초²)
player_max_fall_speed_px,400,float,낙하 최고 속도(px/초)
player_interact_radius_px,20,float,상호작용 대상을 잡는 반경(px)
player_body_width_px,12,int,플레이어 충돌 상자 너비(px)
player_body_height_px,28,int,플레이어 충돌 상자 높이(px)
player_floor_max_angle_deg,50,float,걸어 오를 수 있는 최대 경사(도) — 단차는 경사로로만
ramp_width_px,32,float,바닥 높이가 바뀌는 곳의 경사로 폭(px)
ground_thickness_px,32,int,바닥 충돌체 두께(px)
stamina_max,100,float,스태미너 상한 (docs/01 v3: 100 예산)
stamina_run_drain_per_second,8,float,달리기 중 초당 스태미너 소모
stamina_regen_per_second,4,float,멈춰 있을 때 초당 회복
stamina_exhausted_multiplier,0.5,float,스태미너 0 일 때 속도 배율 (강제 기절 없음)
stamina_low_threshold,20,float,이 아래면 HUD 가 경고색
stamina_gather_cost,5,float,채집·벌목·채광 1회 비용
stamina_farm_cost,4,float,괭이질·파종·물주기·수확 1회 비용
automation_efficiency,0.6,float,배치된 요괴가 플레이어 대신 일할 때 효율 (물주기 1회 = 이 값만큼)
field_workers_max,1,int,텃밭 자동화 슬롯 정원
farm_plots_initial,6,int,텃밭 시작 칸 수 (docs/01 v3 2.1: 6 → 12)
farm_plots_max,12,int,텃밭 최대 칸 수 (unlocks feature farm_plots_12)
farm_plot_width_px,16,int,텃밭 한 칸 폭(px)
start_tools,hoe:1,string,새 게임 시작 도구 (갈래:레벨 목록)
start_items,seed_radish:3;seed_perilla:2,string,새 게임 시작 소지품 (item:n 목록)
camera_follow_smoothing,8.0,float,카메라가 플레이어를 따라가는 감쇠 (클수록 빨리 붙음)
region_ground_color,6b8e5a,string,이승 바닥 윗면 색(hex — 팔레트)
region_dirt_color,5c4033,string,이승 바닥 속 색(hex)
region_demon_ground_color,7a5c8f,string,마계 바닥 윗면 색(hex)
region_demon_dirt_color,2e2733,string,마계 바닥 속 색(hex)
