id,yokai_id,name_ko,short_ko,affinity_min,seed_yield_bonus,dish_buff_bonus,talisman_power_bonus,flavor_ko
b_ttukttagi,y01_ttukttagi,뚝딱이의 손재주,뚝,1,1,1,2,방망이를 한 번 두드려 붙인다. 던지는 것에 힘이 실린다.
b_eoduki,y02_eoduki,어둑이의 그림자,어둑,1,1,1,1,그림자가 슬며시 스민다. 채집과 담력에 어울린다.
b_dalgael,y03_dalgael,달갤의 달빛,달,1,2,2,0,달빛이 고인다. 마계 작물과 눈 밝은 요리에 잘 붙는다.
b_bari,y04_bari,바리의 마른 숨,바,1,0,2,1,메마른 열기가 스민다. 힘 요리와 던지는 것에 좋고 이승 씨앗은 말린다.
b_aheop,y06_aheop,아홉의 눈속임,홉,1,1,1,1,꼬리 여덟이 흔들린다. 눈 밝은 요리에 잘 붙고 던지기엔 산만하다.
b_museo,y07_museo,무쇠의 쇳덩이,쇠,1,0,1,3,쇠를 먹은 무게가 실린다. 투척 부적에 으뜸이고 씨앗엔 무겁다.
b_ongi,y08_ongi,옹기의 항아리,옹,1,2,1,0,항아리 속에서 익는다. 이승 씨앗과 담력 요리에 좋다.
b_daltokki,y09_daltokki,달토끼의 절구,토,1,2,2,0,절구질 소리가 난다. 마계 씨앗과 눈 요리에 잘 붙는다.
b_geuseundae,y10_geuseundae,그슨대의 그늘,슨,1,0,1,2,밤 그림자가 덮인다. 투척과 담력에 좋고 금줄이는 싫어한다.
b_geumjuri,y05_geumjuri,금줄이의 새끼줄,줄,1,1,1,1,새끼줄이 한 번 감긴다. 액을 막는 힘 — 담력 요리와 귀환·채집 부적에 어울린다.
